T,TM,Tm,H,PP,VV,V,VM,PM_2_5
23.4,29.1,20.7,78,0,6.9,12.6,14.8,62.476190476190474
23.5,28,20.9,79,0,6.9,9.1,11.1,78.54166666666667
23.5,27.8,20.1,77,0,6.9,8.3,11.1,49.125
23.1,28.1,20.2,75,0,6.9,11.9,16.5,83.21052631578948
21.9,28,20.1,86,5.08,6.9,10,14.8,79.0
24.2,29.5,20.6,75,0,6.9,9.4,14.8,233.26315789473685
24.8,29.4,20.9,68,-,6.9,10.9,14.8,143.1578947368421
24.4,30.2,20.7,68,0.51,6.9,8.1,11.1,233.93333333333334
22.9,26.3,20.5,82,0,6.9,11.3,16.5,117.17391304347827
22.4,26.4,20.3,86,0,8,6.7,9.4,66.13636363636364
22.8,26.4,20.7,85,1.02,6.9,8.7,14.8,71.0
22.2,27.4,20.5,86,0,7.7,10.9,14.8,283.2307692307692
22.4,26.5,20.3,86,4.57,6.9,8.5,11.1,269.9166666666667
23.6,27.2,20.4,74,1.78,6.9,10,13,162.25
23,28.6,21,79,0,6.9,14.8,25.9,104.5
23,27,20.4,77,0,6.9,14.6,22.2,226.41176470588235
22.7,26.9,20.3,83,0,8.5,14.8,18.3,159.0
23.3,28.2,20.2,82,1.02,6.9,9.1,14.8,31.458333333333332
23.7,28.8,20.6,79,0,6.9,8.9,11.1,47.375
23.3,27.3,20.5,76,0,6.9,10.9,16.5,38.166666666666664
23.1,28.3,20.3,81,4.83,6.9,10,22.2,35.958333333333336
21.9,27.2,19.4,85,5.33,5.5,8.7,18.3,27.363636363636363
23.6,28,18.7,77,14.99,6.9,9.6,22.2,45.833333333333336
23.3,28.6,20.8,76,0,6.9,8.5,16.5,33.708333333333336
21.9,27.7,19.7,84,11.43,7.4,11.1,14.8,26.416666666666668
22,25.4,20,88,3.56,5.5,8.3,13,30.666666666666668
23.4,27.6,20.2,76,8.89,6.3,9.8,18.3,29.958333333333332
21.7,24.6,19.4,85,3.3,7.4,10.2,18.3,23.875
21.9,25,19.6,88,1.02,5.5,10,22.2,22.333333333333332
22.2,25.7,20.1,87,6.35,5.5,7.6,11.1,25.083333333333332
23.3,27.4,20.7,77,0,6.3,13.1,18.3,66.79166666666667
22.8,27.3,20.2,78,0,6.9,11.7,18.3,64.875
23.3,27.4,19.7,72,0,6.9,10.6,18.3,47.583333333333336
23.7,27.8,19.8,75,41.66,6.9,8.3,11.1,42.31578947368421
22.4,28.5,20,83,0,6.3,6.3,14.8,43.041666666666664
21.9,28.3,19.5,86,8.38,6.3,6.7,11.1,38.416666666666664
23.3,28.8,20.3,78,19.81,7.4,6.9,11.1,49.291666666666664
23.7,28.3,20,73,0,6.9,6.5,11.1,19.541666666666668
23.8,28.2,20.3,71,0.25,6.6,7.8,9.4,22.833333333333332
24.7,29.3,19.7,61,0,6.9,6.5,9.4,25.347826086956523
24.4,29.2,20.3,63,0,6.9,8.7,14.8,74.66666666666667
24.3,29.1,20.1,66,0,6.9,7.8,14.8,41.875
25.7,30,20.5,59,0,6.9,5.4,9.4,50.583333333333336
25,31.6,22.3,72,0.25,6.9,1.9,3.5,58.125
24.8,30.3,20.4,69,33.02,6.3,1.5,5.4,57.291666666666664
23.9,31.7,20.1,77,16,6.6,2,5.4,38.25
-,-,-,-,-,-,-,-,50.333333333333336
22.7,29.1,19.5,81,13.97,6.3,5,9.4,56.916666666666664
23.5,28.4,20,71,0,6.3,5.7,9.4,54.625
23.9,28.2,18.4,64,0,6.9,4.8,7.6,42.875
-,-,-,-,-,-,-,-,44.21739130434783
23.7,30.3,19.9,79,32.26,5.5,0.4,3.5,43.333333333333336
25.1,29.2,21.3,72,1.27,6.9,3.5,5.4,41.875
25.3,29.9,21.4,69,4.32,6.9,3.7,7.6,44.416666666666664
25.5,30.9,21.6,73,0.25,6.9,5.2,7.6,62.9375
24.9,30.3,21.3,71,0,6.9,4.6,5.4,0.0
24.1,30.4,21.6,75,0.25,6.9,5,7.6,0.0
24.2,28.2,20.2,70,7.87,6.9,3.3,5.4,91.5
24.1,29.5,20.8,72,0,6.3,3.1,3.5,70.70833333333333
24.3,29.5,20.6,65,4.32,6.3,1.5,5.4,51.791666666666664
25,31.5,20.4,67,0,6.3,2.4,5.4,0.0
24,30.3,21,75,1.02,6.9,3.1,3.5,21.384615384615383
